city_name,country_code,latitude,longitude,temp,humidity,cloudiness,wind_speed
clyde river,ca,73.17468,-64.76931,42.2,72,47,12.01
kailua,us,26.58161,-154.95013,79.28,72,90,13.02
arraial do cabo,br,-34.1201,-36.9132,57.86,72,0,17.9
kimberley,za,-28.85422,24.95041,46.4,33,0,2.24
souillac,mu,-37.05976,66.03932,50.48,56,100,9.19
cherskiy,ru,71.31262,158.027,43.1,77,100,6.98
mogok,mm,23.5058,96.13238,76.58,92,70,2.55
ondorhaan,mn,46.74421,110.31559,55.7,63,0,4.45
hilo,us,29.31493,-145.56975,76.94,79,0,16.35
labuhan,id,-12.1082,100.25653,75.32,79,68,23.13
biak,id,-1.25375,136.16048,82.4,78,75,5.82
omaruru,na,-20.92588,15.67075,55.52,10,0,7.72
south sioux city,us,42.24277,-96.85497,69.67,83,90,10.29
faanui,pf,-12.26267,-150.84686,79.28,69,10,12.55
aldan,ru,59.31538,123.71748,55.88,87,26,3.8
kahului,us,30.04507,-147.70027,76.76,78,32,15.28
port lincoln,au,-45.18976,130.43394,47.42,79,94,31.47
inuvik,ca,69.01352,-133.90601,46.4,87,90,10.29
elko,us,39.35721,-115.70263,91.54,16,0,10.29
upernavik,gl,78.44011,-48.97384,10.88,96,100,3.36
arona,es,25.24216,-17.29266,72.44,88,0,14.85
tiksi,ru,74.19713,132.05701,40.94,92,100,11.74
saint-augustin,ca,55.38666,-59.87628,50.66,77,69,10.83
saint anthony,ca,53.32144,-54.6331,49.22,70,28,7.4
alzamay,ru,55.52405,98.78272,53.18,93,73,9.04
pisco,pe,-23.35242,-89.44102,62.0,82,4,7.27
kachug,ru,53.64399,105.69115,50.12,86,90,3.13
ranong,th,9.81496,98.39392,80.6,88,20,3.36
grimari,cf,5.40674,20.31695,66.5,98,97,1.74
uige,ao,-7.00836,15.82624,66.5,83,91,7.92
katherine,au,-13.90749,133.36426,76.04,36,15,11.59
flinders,au,-33.98486,132.30166,53.36,69,37,6.08
margate,za,-44.5792,43.60445,37.88,67,91,20.18
vidalia,us,31.80591,-82.32594,80.69,69,90,3.36
vardo,no,89.58241,38.44608,33.2,89,100,5.66
cibitoke,bi,-2.93007,28.65827,62.54,79,74,1.66
richards bay,za,-31.90621,38.07925,67.22,90,30,13.89
